"","Player","Pos","Team","year","Age","G","PERz","WSper48z","BPMz","VORPz","score"
"11515","Michael Jordan","SG","CHI",1988,24,82,4.3,3.99,5.02,7.68,20.99
"10161","LeBron James","SF","CLE",2009,24,81,4.3,4.18,5.09,7.21,20.79
"11518","Michael Jordan","SG","CHI",1991,27,82,4.28,4.24,4.65,6.55,19.71
"11516","Michael Jordan","SG","CHI",1989,25,81,4.16,3.7,4.61,6.95,19.41
"3989","David Robinson","C","SAS",1994,28,80,4.06,3.77,4.61,6.95,19.39
"10165","LeBron James","PF","MIA",2013,28,76,4.28,4.25,4.54,5.96,19.03
"10162","LeBron James","SF","CLE",2010,25,76,4.16,3.83,4.57,6.22,18.78
"15030","Stephen Curry","PG","GSW",2016,27,79,4.25,4.18,4.61,5.69,18.74
"11517","Michael Jordan","SG","CHI",1990,26,82,4.18,3.57,4.35,6.42,18.52
"11522","Michael Jordan","SG","CHI",1996,32,82,3.74,4.16,4.09,5.89,17.89
"2841","Chris Paul","PG","NOH",2009,23,78,3.89,3.7,4.28,5.96,17.82
"11520","Michael Jordan","SG","CHI",1993,29,78,3.81,3.29,4.35,6.16,17.61
"9382","Kevin Durant","SF","OKC",2014,25,81,3.84,3.75,3.98,5.76,17.34
"11514","Michael Jordan","SG","CHI",1987,23,82,3.84,2.87,4.2,6.42,17.33
"9417","Kevin Garnett","PF","MIN",2004,27,82,3.74,3.33,3.98,6.02,17.08
"7115","James Harden","PG","HOU",2019,29,78,4.03,3,4.28,5.56,16.87
"16044","Tracy McGrady","SG","ORL",2003,23,75,3.96,3.14,4.09,5.56,16.76
"2840","Chris Paul","PG","NOH",2008,22,80,3.47,3.55,4.06,5.56,16.64
"10160","LeBron James","SF","CLE",2008,23,75,3.67,2.77,4.24,5.89,16.58
"14704","Shaquille O'Neal","C","LAL",2000,27,79,4.03,3.53,3.65,5.36,16.58
"10164","LeBron James","SF","MIA",2012,27,62,4.06,3.81,4.24,4.44,16.55
"5013","Dwyane Wade","SG","MIA",2009,27,79,3.99,2.59,4.13,5.76,16.47
"14163","Russell Westbrook","PG","OKC",2017,28,81,4.03,2.44,4.31,5.56,16.35
"6038","Giannis Antetokounmpo","PF","MIL",2019,24,72,4.11,3.7,4.06,4.31,16.17
"9381","Kevin Durant","SF","OKC",2013,24,81,3.47,3.68,3.65,5.3,16.1
"11519","Michael Jordan","SG","CHI",1992,28,80,3.33,3.37,3.8,5.5,15.99
"7114","James Harden","SG","HOU",2018,28,72,3.84,3.64,3.87,4.5,15.86
"3991","David Robinson","C","SAS",1996,30,82,3.74,3.66,3.5,4.9,15.81
"3990","David Robinson","C","SAS",1995,29,81,3.67,3.35,3.61,5.17,15.8
"6039","Giannis Antetokounmpo","PF","MIL",2020,25,57,4.28,3.51,4.46,3.38,15.64
"10565","Magic Johnson","PG","LAL",1990,30,79,3.06,3.29,3.95,5.3,15.59
"15029","Stephen Curry","PG","GSW",2015,26,80,3.4,3.62,3.87,4.64,15.53
"9418","Kevin Garnett","PF","MIN",2005,28,82,3.45,2.89,3.72,5.43,15.49
"11523","Michael Jordan","SG","CHI",1997,33,82,3.35,3.53,3.5,5.1,15.49
"10158","LeBron James","SF","CLE",2006,21,79,3.42,2.59,3.58,5.63,15.22
"9384","Kevin Durant","SF","OKC",2016,27,72,3.45,3.29,3.87,4.57,15.18
"10166","LeBron James","PF","MIA",2014,29,77,3.72,3.18,3.47,4.64,15
"10564","Magic Johnson","PG","LAL",1989,29,77,3.13,3.24,3.69,4.9,14.96
"822","Anthony Davis","PF","NOP",2015,21,68,4.08,3.37,3.5,3.84,14.8
"4642","Dirk Nowitzki","PF","DAL",2006,27,81,3.42,3.38,3.21,4.64,14.65
"3986","David Robinson","C","SAS",1991,25,82,3.25,3.18,3.36,4.84,14.63
"9006","Karl Malone","PF","UTA",1997,33,82,3.62,3.26,3.25,4.5,14.62
"9965","Larry Bird","SF","BOS",1987,30,74,3.01,2.79,3.69,5.1,14.59
"7111","James Harden","SG","HOU",2015,25,81,3.08,3.2,3.47,4.77,14.52
"10562","Magic Johnson","PG","LAL",1987,27,80,3.16,3.16,3.47,4.7,14.49
"2466","Charles Barkley","SF","PHI",1990,26,79,3.18,3.27,3.25,4.7,14.4
"2467","Charles Barkley","SF","PHI",1991,27,67,3.62,3.07,3.65,4.04,14.38
"3987","David Robinson","C","SAS",1992,26,68,3.28,3.11,3.69,4.31,14.38
"9966","Larry Bird","SF","BOS",1988,31,76,3.35,2.79,3.47,4.77,14.38
"9963","Larry Bird","SF","BOS",1985,28,80,3.03,2.7,3.47,5.17,14.37
"4643","Dirk Nowitzki","PF","DAL",2007,28,78,3.3,3.44,3.28,4.31,14.33
"9020","Kawhi Leonard","SF","SAS",2017,25,74,3.3,3.18,3.69,4.11,14.28
"7113","James Harden","PG","HOU",2017,27,81,3.25,2.83,3.43,4.7,14.22
"10170","LeBron James","PF","CLE",2018,33,82,3.55,2.39,3.43,4.84,14.2
"5014","Dwyane Wade","SG","MIA",2010,28,77,3.4,2.44,3.61,4.64,14.09
"9964","Larry Bird","SF","BOS",1986,29,82,2.81,2.81,3.43,4.97,14.02
"9467","Kevin Love","PF","MIN",2014,25,77,3.13,2.83,3.5,4.5,13.97
"10168","LeBron James","SF","CLE",2016,31,76,3.28,2.77,3.54,4.37,13.96
"9416","Kevin Garnett","PF","MIN",2003,26,82,3.01,2.46,3.32,5.17,13.95
"10566","Magic Johnson","PG","LAL",1991,31,79,2.69,2.94,3.54,4.77,13.94
"14705","Shaquille O'Neal","C","LAL",2001,28,74,3.94,2.83,3.06,4.11,13.94
"15628","Tim Duncan","PF","SAS",2002,25,82,3.16,3.05,3.02,4.7,13.93
"10163","LeBron James","SF","MIA",2011,26,79,3.23,2.81,3.21,4.57,13.82
"9019","Kawhi Leonard","SF","SAS",2016,24,72,2.91,3.42,3.58,3.84,13.75
"2845","Chris Paul","PG","LAC",2013,27,70,3.01,3.61,3.47,3.65,13.73
"10157","LeBron James","SF","CLE",2005,20,80,2.84,2.05,3.39,5.43,13.71
"2844","Chris Paul","PG","LAC",2012,26,60,3.16,3.44,3.61,3.45,13.66
"2464","Charles Barkley","PF","PHI",1988,24,80,3.3,2.98,2.95,4.37,13.6
"14706","Shaquille O'Neal","C","LAL",2002,29,67,3.81,3.14,3.17,3.45,13.58
"9664","Kobe Bryant","SG","LAL",2006,27,80,3.4,2.44,3.02,4.7,13.57
"2847","Chris Paul","PG","LAC",2015,29,82,2.91,3.29,3.17,4.17,13.55
"15629","Tim Duncan","PF","SAS",2003,26,81,3.13,2.89,3.02,4.5,13.55
"3993","David Robinson","C","SAS",1998,32,73,3.35,3.27,3.28,3.58,13.49
"9007","Karl Malone","PF","UTA",1998,34,81,3.38,3.09,2.91,4.11,13.49
"7116","James Harden","SG","HOU",2020,30,61,3.5,2.83,3.54,3.58,13.45
"826","Anthony Davis","C","NOP",2019,25,56,3.96,2.87,3.69,2.92,13.44
"9385","Kevin Durant","PF","GSW",2017,28,62,3.3,3.44,3.5,3.18,13.43
"6357","Hakeem Olajuwon","C","HOU",1993,30,82,3.23,2.63,2.99,4.57,13.41
"14698","Shaquille O'Neal","C","ORL",1994,21,81,3.52,2.96,2.73,4.17,13.38
"2465","Charles Barkley","PF","PHI",1989,25,79,3.16,2.92,2.99,4.31,13.37
"8459","John Stockton","PG","UTA",1990,27,78,2.4,2.7,3.5,4.7,13.31
"9419","Kevin Garnett","PF","MIN",2006,29,76,3.11,2.77,3.1,4.31,13.29
"15630","Tim Duncan","PF","SAS",2004,27,69,3.18,2.9,3.36,3.84,13.28
"5010","Dwyane Wade","SG","MIA",2006,24,75,3.3,2.72,3.06,4.11,13.19
"9009","Karl Malone","PF","UTA",2000,36,82,3.18,2.9,2.99,4.11,13.18
"6141","Grant Hill","SF","DET",1997,24,80,2.79,2.42,3.25,4.7,13.16
"14162","Russell Westbrook","PG","OKC",2016,27,80,3.3,2.83,3.1,3.91,13.14
"12301","Nikola Jokic","C","DEN",2019,23,80,2.98,2.48,3.58,4.04,13.08
"8464","John Stockton","PG","UTA",1995,32,82,2.25,2.61,3.54,4.64,13.04
"8458","John Stockton","PG","UTA",1989,26,82,2.15,2.66,3.28,4.9,13
"2469","Charles Barkley","PF","PHO",1993,29,76,2.89,2.77,3.1,4.11,12.87
"9378","Kevin Durant","SF","OKC",2010,21,82,2.96,2.7,2.84,4.37,12.87
"4641","Dirk Nowitzki","PF","DAL",2005,26,78,2.94,2.89,2.91,4.11,12.84
"4639","Dirk Nowitzki","PF","DAL",2003,24,80,2.81,2.9,2.88,4.24,12.83
"2846","Chris Paul","PG","LAC",2014,28,62,2.89,3.29,3.39,3.25,12.82
"9002","Karl Malone","PF","UTA",1993,29,82,2.96,2.7,2.91,4.24,12.81
"8457","John Stockton","PG","UTA",1988,25,82,2.23,2.7,3.36,4.44,12.72
"827","Anthony Davis","PF","LAL",2020,26,55,3.45,3.14,3.36,2.72,12.67
"8460","John Stockton","PG","UTA",1991,28,82,2.28,2.31,3.28,4.77,12.64
